Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.75781e+04,1.48,1.48,-2.08,-2,,3.516e+05,-53.0625
1.76562e+04,1.48,1.4,-2.08,-2.16,,3.531e+05,-55.05
1.77344e+04,1.48,1.48,-2.16,-2.08,,3.547e+05,-53.0625
1.78125e+04,1.48,1.4,-2.08,-2.16,,3.562e+05,-51.0719
1.78906e+04,1.48,1.48,-2.08,-2.08,,3.578e+05,-53.0625
1.79687e+04,1.48,1.4,-2.08,-2.16,,3.594e+05,-55.05
1.80469e+04,1.48,1.48,-2,-2,,3.609e+05,-52.0406
1.81250e+04,1.48,1.4,-2,-2,,3.625e+05,-49.0312
1.82031e+04,1.48,1.48,-2,-2,,3.641e+05,-52.0406
1.82812e+04,1.48,1.4,-2,-2.08,,3.656e+05,-55.05
1.83594e+04,1.48,1.48,-2,-2,,3.672e+05,-56.5563
1.84375e+04,1.48,1.4,-2,-2.08,,3.687e+05,-58.0594
1.85156e+04,1.48,1.48,-2.08,-2,,3.703e+05,-56.5563
1.85937e+04,1.48,1.48,-2.08,-2.16,,3.719e+05,-55.05
1.86719e+04,1.48,1.48,-2.08,-2.08,,3.734e+05,-55.05
1.87500e+04,1.48,1.4,-2.08,-2.08,,3.750e+05,-55.05
1.88281e+04,1.48,1.48,-2.08,-2.08,,3.766e+05,-55.05
1.89062e+04,1.48,1.4,-2.08,-2.08,,3.781e+05,-55.05
1.89844e+04,1.48,1.48,-2,-2,,3.797e+05,-50.9875
1.90625e+04,1.48,1.4,-2,-2.08,,3.812e+05,-46.9219
1.91406e+04,1.48,1.48,-2,-2,,3.828e+05,-50.9875
1.92187e+04,1.48,1.4,-2,-2.08,,3.844e+05,-55.05
1.92969e+04,1.48,1.48,-2.08,-2,,3.859e+05,-53.0625
1.93750e+04,1.48,1.4,-2.08,-2.08,,3.875e+05,-51.0719
