Time (s),Bx (µT),By (µT),Bz (µT)
48.459999084472656,-17.339025497436523,-41.01890182495117,-47.21811294555664
48.470001220703125,-17.795108795166016,-40.77961349487305,-47.17613983154297
48.47999954223633,-18.239330291748047,-40.96312713623047,-47.17613983154297
48.4900016784668,-18.360919952392578,-41.302066802978516,-47.29496383666992
48.5,-18.11433982849121,-41.523433685302734,-47.712799072265625
48.5099983215332,-17.98055648803711,-41.523433685302734,-48.849239349365234
48.52000045776367,-17.846771240234375,-40.81801223754883,-47.31409454345703
48.529998779296875,-18.05238151550293,-40.52989196777344,-46.63860321044922
48.540000915527344,-18.154420852661133,-40.48093795776367,-47.11532974243164
48.54999923706055,-17.75306510925293,-40.393585205078125,-48.21952819824219
48.560001373291016,-17.35171127319336,-40.656150817871094,-47.93541717529297
48.56999969482422,-17.746570587158203,-40.583866119384766,-48.1344108581543
48.58000183105469,-18.518054962158203,-40.91642761230469,-48.167564392089844
48.59000015258789,-18.92872428894043,-41.35784149169922,-47.93245315551758
48.599998474121094,-18.277511596679688,-41.40129089355469,-47.44987106323242
48.61000061035156,-17.876155853271484,-42.057701110839844,-46.17137908935547
48.619998931884766,-17.9055118560791,-41.55181884765625,-47.522560119628906
48.630001068115234,-17.82115364074707,-41.263607025146484,-47.272254943847656
48.63999938964844,-17.81784439086914,-41.35784149169922,-46.10347366333008
48.650001525878906,-18.475614547729492,-41.35784149169922,-47.34939956665039
48.65999984741211,-18.609399795532227,-41.35784149169922,-47.06528854370117
48.66999816894531,-18.64157485961914,-41.55725860595703,-46.88907241821289
48.68000030517578,-18.374984741210938,-41.689022064208984,-46.81778335571289
48.689998626708984,-18.156688690185547,-41.59574890136719,-46.784141540527344
48.70000076293945,-18.95939826965332,-41.201904296875,-46.642086029052734
48.709999084472656,-18.326539993286133,-41.320316314697266,-47.19289779663086
48.720001220703125,-18.03978729248047,-41.26408767700195,-48.57271194458008
48.72999954223633,-18.14832305908203,-41.43003845214844,-48.47627258300781
48.7400016784668,-18.47282600402832,-41.75406265258789,-46.475399017333984
48.75,-18.47282600402832,-41.228939056396484,-45.623069763183594
48.7599983215332,-18.47282600402832,-41.5585823059082,-46.22418212890625
48.77000045776367,-18.562301635742188,-41.51342010498047,-46.649436950683594
48.779998779296875,-18.64157485961914,-41.41133499145508,-46.991432189941406
48.790000915527344,-18.73932456970215,-41.523433685302734,-47.4383544921875
48.79999923706055,-19.408246994018555,-41.523433685302734,-48.00657272338867
48.810001373291016,-19.130199432373047,-41.40727615356445,-47.94635009765625
48.81999969482422,-18.645435333251953,-41.52153778076172,-47.715728759765625
48.83000183105469,-18.255632400512695,-41.78409957885742,-47.53450012207031
48.84000015258789,-18.162296295166016,-42.00697326660156,-47.5488166809082
48.849998474121094,-18.42986488342285,-41.875694274902344,-47.69087219238281
48.86000061035156,-18.58513069152832,-41.63420867919922,-47.59443283081055
48.869998931884766,-18.486892700195312,-41.67522048950195,-47.04176330566406
48.880001068115234,-18.304079055786133,-41.77144241333008,-46.72941207885742
